SDOM,TYPEQU,NOMRS,CAPACITE,type,idINS,lon,lat
C5,C504,FACULTE JEAN CALVIN,,Autres,r200N2278600E3952400,5.451127064,43.51711045
C5,C504,INSTIT.AMERICAN UNIVERSITIES,,Autres,r200N2280400E3952200,5.446635342,43.53171226
C5,C504,INSTITUTE FOR AMERICAN UNIVERSITIES AMERICAN COLLEGE OF THE MEDITERRANEAN,,Autres,r200N2280400E3952200,5.446635342,43.53171226
C5,C509,CTRE FORM MUSICIEN INTERVENANT UNIVERSITE AIX MARSEILLE,,Autres,r200N2278800E3952200,5.44804879,43.51779288
C5,C509,INST ADM ENTREPRISES AMU UNIVERSITE AIX MARSEILLE,,Autres,r200N2286000E3950400,5.421982141,43.58260238
C5,C509,CENTRE ENSEIGNEMENT AIX CENTRE CNAM REGION PACA,,Autres,r200N2280200E3952800,5.456009825,43.53072992
C5,C509,INST ETUDES ET CULTURES JUIVES UNIVERSITE AIX-MARSEILLE,,Autres,r200N2278600E3951800,5.443890415,43.51549947
C5,C509,MAISON MED SC DE L HOMME AMU UNIVERSITE AIX MARSEILLE,,Autres,r200N2280200E3949800,5.418519974,43.52882505
C5,C509,SCIENCES PO AIX INSTITUT D'ETUDES POLITIQUES D'AIX EN PROVENCE,,Autres,r200N2280200E3952200,5.446672848,43.53148034
C5,C509,CPAG MARSEILLE INSTITUT D ETUDES POLITIQUES,,Autres,r200N2280200E3952200,5.446672848,43.53148034
C5,C509,INST REGIONAL DU TRAVAIL AMU UNIVERSITE AIX-MARSEILLE,,Autres,r200N2279200E3953000,5.45750716,43.52284397
C5,C509,CENTRE ENSEIGNEMENT AIX MILLES CNAM PACA,,Autres,r200N2275800E3946200,5.377363519,43.48868022
C6,C602,GRETA-CFA PROVENCE GRETA-CFA - LGT VAUVENARGUES,,Autres,r200N2280000E3952800,5.455786656,43.52861826
C6,C604,CREPS CREPS PROVENCE-ALPES-COTE-D'AZUR,,Autres,r200N2277600E3951800,5.444777098,43.50792768
C6,C610,PIGIER,,Autres,r200N2279600E3951600,5.440831064,43.52504012
C6,C610,ECOLE DE SECRETARIAT MEDICO-SOCIAL,,Autres,r200N2280200E3953000,5.456922002,43.53120102
C6,C610,SUP'TERTIAIRE AIX,,Autres,r200N2277800E3950000,5.42314786,43.50772638
C6,C610,INSTITUT DE FORMATIONS SANITAIRES ET SOCIALES,,Autres,r200N2275400E3946400,5.378669086,43.4848825
C6,C610,DIRECTION REGIONALE SUD EST,,Autres,r200N2280200E3953000,5.456922002,43.53120102
C6,C610,FEDERATION NATIONALE DE LA COIFFURE PACA,,Autres,r200N2279400E3951600,5.440923826,43.52332802
C6,C610,MON CENTRE REFERENCE - FRANCE,,Autres,r200N2275600E3946400,5.379091036,43.48577649
C6,C610,COURS DIDEROT,,Autres,r200N2278600E3950800,5.432208335,43.51474562
C6,C610,KAALI FORMATION,,Autres,r200N2279800E3949400,5.413476838,43.52492589
C6,C610,ITECOM,,Autres,r200N2280200E3953000,5.457915535,43.53054886
C6,C610,LYCEE GENERAL ET TECHNO P CEZANNE,,Autres,r200N2280600E3954800,5.47938177,43.53539767
C6,C610,LGT GEORGES DUBY,,Autres,r200N2274800E3949000,5.412411642,43.47992484
C6,C610,M2I SCRIBTEL,,Autres,r200N2277000E3943800,5.345820951,43.49661401
C6,C610,INSTITUT NATIONAL DES FORMATIONS NOTARIALES,,Autres,r200N2279800E3951200,5.435229703,43.52597028
C6,C610,LYCEE POLYVALENT VAUVENARGUES,,Autres,r200N2280000E3952800,5.455786656,43.52861826
C6,C610,LYCEE DES METIERS EMILE ZOLA,,Autres,r200N2278000E3951800,5.444934734,43.51097523
C6,C610,ALTERNANCE AZUR,,Autres,r200N2276000E3946400,5.37971412,43.48902298
C6,C610,ERUDIS FORMATION,,Autres,r200N2274800E3946000,5.373657566,43.47888844
C6,C610,HOPPS GROUP,,Autres,r200N2274600E3945600,5.369944582,43.47688218
