idINS,osm_id,name,brand,shop,lon,lat
r200N2268800E3934000,2739126868,Action,Action,variety_store,5.23034,43.41850319
r200N2249600E3948400,4580357800,Action,Action,variety_store,5.4230143,43.25279619
r200N2266600E3926800,6481595892,Action,Action,variety_store,5.1448648,43.39310449
r200N2281800E3912800,6879195074,Action,Action,variety_store,4.9599702,43.52299029
r200N2280600E3950000,7001088446,Action,Action,variety_store,5.4192692,43.53289329
r200N2270400E3970600,8980070850,Action,Action,variety_store,5.6799445,43.45199019
r200N2262200E3943400,8983934147,Action,Action,variety_store,5.3523213,43.36422969
r200N2253600E3949200,11755215630,Action,Action,variety_store,5.4280671,43.28943069
r200N2272400E3918200,12536739587,Action,Action,variety_store,5.0347026,43.44100079
r200N2268600E3945000,67534713,GiFi,GiFi,variety_store,5.367119075,43.42314889
r200N2278000E3948600,88766944,GiFi,GiFi,variety_store,5.405746669,43.50844945
r200N2296600E3957200,1009894575,GiFi,GiFi,variety_store,5.498357231,43.68096958
r200N2279000E3914200,2345340225,GiFi,GiFi,variety_store,4.9799148,43.49727989
r200N2251600E3949000,4000919348,GiFi,GiFi,variety_store,5.4274335,43.27131239
r200N2258200E3963400,8576869776,GiFi,GiFi,variety_store,5.6000773,43.33864359
r200N2272200E3918400,1975440287,La Foir'Fouille,La Foir'Fouille,variety_store,5.0365247,43.43924329
r200N2279200E3914000,2345340217,La Foir'Fouille,La Foir'Fouille,variety_store,4.9770126,43.49906599
r200N2252800E3962600,7932531682,La Foir'Fouille,La Foir'Fouille,variety_store,5.5937315,43.29011259
r200N2252600E3959000,11389795349,Maxi Bazar,Maxi Bazar,variety_store,5.549044,43.28583659
r200N2296400E3957200,745280312,U Drive - Les Prés verts,Système U,supermarket,5.497833895,43.67920777
r200N2306000E3923800,86427222,U Express,U Express,supermarket,5.077095515,43.74593861
r200N2290000E3922400,591413523,U Express,U Express,supermarket,5.073985682,43.60151155
r200N2287600E3955600,4935163137,U Express,U Express,supermarket,5.4831917,43.59855249
r200N2272600E3949000,6895776545,U Express,U Express,supermarket,5.4140988,43.46060609
r200N2257600E3954400,12146207684,U Express,U Express,supermarket,5.4899639,43.32879749
r200N2253000E3955600,5140103027,Chronodrive,Chronodrive,supermarket,5.5084245,43.28708109
r200N2282200E3945600,64064351,Casino,Casino,supermarket,5.363697332,43.54429491
r200N2259600E3925800,71857335,Intermarché,Casino,supermarket,5.136982727,43.33057243
r200N2254200E3960600,92590192,Casino,Casino,supermarket,5.569770906,43.30165712
r200N2251400E3945800,154802321,Casino,Casino,supermarket,5.389936488,43.26764285
r200N2242400E3963400,155917579,Netto,Géant Casino,supermarket,5.611502987,43.19552653
r200N2278000E3955200,172270792,Casino Express,Casino,supermarket,5.486206363,43.51196747
r200N2268800E3934200,179226279,Carrefour Market,Géant Casino,supermarket,5.234752063,43.41851011
r200N2254000E3953000,691639784,Géant Casino,Géant Casino,supermarket,5.476060426,43.29587225
r200N2249600E3948400,799095377,Casino,Casino,supermarket,5.4233587,43.25344259
r200N2254600E3945800,1237810325,Casino,Casino,supermarket,5.3862692,43.29601849
r200N2253800E3946800,1282660439,Casino,Casino,supermarket,5.3994627,43.29060319
r200N2262000E3940400,1485011634,Casino,Casino,supermarket,5.3153009,43.36018869
r200N2257600E3948600,1555695972,Géant Casino,Géant Casino,supermarket,5.4184492,43.32537709
r200N2250200E3948000,1797915236,Supermarché Casino,Casino,supermarket,5.4173133,43.25886469
r200N2255600E3944600,1817435934,Aldi,Casino,supermarket,5.3720096,43.30582629
r200N2257600E3946000,1839956765,Supermarché Casino,Casino,supermarket,5.3880315,43.32346419
r200N2260400E3945200,1923604551,Casino,Casino,supermarket,5.3764495,43.34892109
